,time,open_,high,low,close
0,2021-03-04 09:45:05+00:00,1.202955,1.203015,1.202955,1.202995
,time,open_,high,low,close
1,2021-03-04 09:45:10+00:00,1.202995,1.202995,1.20283,1.202835
,time,open_,high,low,close
2,2021-03-04 09:45:15+00:00,1.202835,1.20286,1.20281,1.202835
,time,open_,high,low,close
3,2021-03-04 09:45:20+00:00,1.202835,1.202945,1.20283,1.202865
,time,open_,high,low,close
4,2021-03-04 09:45:25+00:00,1.202865,1.202905,1.202865,1.202905
,time,open_,high,low,close
5,2021-03-04 09:45:30+00:00,1.202905,1.202925,1.202875,1.20291
,time,open_,high,low,close
6,2021-03-04 09:45:35+00:00,1.20291,1.20298,1.202905,1.202975
,time,open_,high,low,close
7,2021-03-04 09:45:40+00:00,1.202975,1.202995,1.20297,1.20297
,time,open_,high,low,close
8,2021-03-04 09:45:45+00:00,1.20297,1.20298,1.202955,1.202975
,time,open_,high,low,close
9,2021-03-04 09:45:50+00:00,1.202975,1.202995,1.202935,1.202935
,time,open_,high,low,close
10,2021-03-04 09:45:55+00:00,1.202935,1.20294,1.202935,1.20294
